,Overall,G0,G1,G2,S
RF (full),0.9745762711864406,1.0,0.9779179810725552,0.9621848739495799,0.9580952380952381
RF (top 40),0.9655367231638418,0.9571045576407506,0.9668769716088328,0.9663865546218487,0.9695238095238096
MLR (full),0.9593220338983052,0.9785522788203752,0.9621451104100948,0.9453781512605042,0.9485714285714286
MLR (top 40),0.9621468926553672,0.9812332439678284,0.9574132492113564,0.9453781512605042,0.961904761904762
XGBoost (full),0.976271186440678,1.0,0.973186119873817,0.9663865546218487,0.9676190476190476
XGBoost (top 40),0.9717514124293786,0.9758713136729222,0.9700315457413248,0.96218487394958,0.9752380952380952
SVM-RBF (full),0.9587570621468926,0.9731903485254692,0.9526813880126184,0.9411764705882352,0.9638095238095238
SVM-RBF (top 40),0.968361581920904,0.9812332439678284,0.9621451104100948,0.953781512605042,0.9733333333333334
SVM-lin (full),0.9559322033898304,0.970509383378016,0.94794952681388,0.9453781512605042,0.96
SVM-lin (top 40),0.971186440677966,0.9892761394101875,0.9668769716088328,0.957983193277311,0.9695238095238096
MLP (full),0.9423728813559322,0.9517426273458444,0.9353312302839116,0.9159663865546218,0.956190476190476
MLP (top 40),0.9649717514124294,0.9839142091152816,0.9605678233438486,0.957983193277311,0.96
