feature,scores,ci
AreaShape_Area & Intensity_IntegratedIntensity_DNA,0.0034219956432030704,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_CDK2,-0.0003719666309543024,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_CDK4,0.0006218058429081173,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_CDK6,-0.0001532549712734046,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_Cdh1,-0.004897375920689475,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_Cdt1,0.0007848342656685475,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_E2F1,0.0006742091339597155,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_ER,-0.0019000124386463477,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_Ki67,-3.258550719495286e-05,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_PR,-0.00017901888761270502,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_RB,0.0011617364325950444,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_Skp2,-0.0008752747029786128,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_cycA,-0.0010928503260647592,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_cycB1,0.0005300413663675265,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_cycD1,0.00044399584177896547,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_cycE,1.609546103617343e-05,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_p21,-0.00034313262799472757,0.0005522167713163416
AreaShape_Area & Intensity_MedianIntensity_pRB,-0.0006379503170432997,0.0005522167713163416
AreaShape_Area & pRB_over_RB,0.0025394179306980134,0.0005522167713163416
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK2,-0.0001668945192773323,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK4,-0.0006241806898663367,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK6,-0.0008990245283924328,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdh1,-0.0024515311990777403,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdt1,0.0012837443725663468,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_E2F1,-0.0005420382192856327,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_ER,0.0005929486258677931,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Ki67,-0.002732104219175959,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_PR,0.00036474333152663584,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_RB,0.0006286313939582967,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Skp2,-0.0006066271366341559,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycA,0.0007820439646638659,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycB1,-0.0003201888773378328,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycD1,-0.001174625122027099,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycE,-0.00011277052753576246,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_p21,-0.0006346746640187312,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_pRB,0.002781556013327188,0.0005108669743208434
Intensity_IntegratedIntensity_DNA & pRB_over_RB,0.001594419176287513,0.0005108669743208434
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_CDK4,0.002416433231872766,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_CDK6,0.00023223609882010754,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Cdh1,-0.009162097171783458,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Cdt1,0.0007580779170046373,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_E2F1,-0.0013846990716825807,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_ER,-0.002766170371263055,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Ki67,0.00019300751284692127,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_PR,-0.0007562553733936972,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_RB,0.001487610648195177,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Skp2,0.0012798172083531558,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycA,0.0007935733395079443,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycB1,-0.0012287303150148518,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycD1,-0.0015215520731700067,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycE,-0.005583297480062451,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_p21,-0.001958266353182247,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_pRB,-0.0015453281452039822,0.0011839396735437966
Intensity_MedianIntensity_CDK2 & pRB_over_RB,0.002034951807461749,0.0011839396735437966
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_CDK6,-0.0007267590430504038,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Cdh1,-0.005832150349809904,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Cdt1,-0.0011937197428514266,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_E2F1,-0.0011382106402217517,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_ER,0.0005771112235799683,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Ki67,-0.0013118474693012835,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_PR,-0.0010610880180465462,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_RB,0.0002571741936680321,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Skp2,-0.0001303152562744281,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycA,-0.00026519563328372074,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycB1,0.00022643790481966365,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycD1,-0.005989815000260717,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycE,0.0005741472348242012,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_p21,0.0007108167725543489,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_pRB,0.0025323260476998403,0.0009977126647638206
Intensity_MedianIntensity_CDK4 & pRB_over_RB,-0.0008440642420606506,0.0009977126647638206
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Cdh1,-0.002737264362788101,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Cdt1,-9.982608762316562e-05,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_E2F1,-0.0018220812688502926,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_ER,-0.0003724476429182588,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Ki67,0.00024389355730522377,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_PR,0.002165558893688881,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_RB,-0.00099640190282985,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Skp2,0.0006174176349825133,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycA,0.0011979777202712817,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycB1,-0.0025540328666431252,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycD1,-0.0008252469653427632,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycE,-0.0020096432697243563,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_p21,-0.002161066933214622,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_pRB,-0.00023705650513229946,0.0010445218980070696
Intensity_MedianIntensity_CDK6 & pRB_over_RB,0.000686029165228045,0.0010445218980070696
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_Cdt1,-0.0016873148581845513,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_E2F1,-0.005323051794975938,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_ER,0.005530073596376329,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_Ki67,-0.004373778621635739,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_PR,-0.00308762024234322,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_RB,-0.004806554971438537,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_Skp2,-0.00041275435373724407,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_cycA,-0.0010984596060348453,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_cycB1,-4.0340374641687075e-05,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_cycD1,-0.016188586702310156,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_cycE,-0.0035823090995941655,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_p21,-0.008804365121668467,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_pRB,-0.014853248664224866,0.0023599217393357836
Intensity_MedianIntensity_Cdh1 & pRB_over_RB,-0.007961056938884437,0.0023599217393357836
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_E2F1,0.0018044493844584378,0.0007850101728617031
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_ER,-0.00012396629987189558,0.0007850101728617031
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_Ki67,-0.0016578622301378716,0.0007850101728617031
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_PR,-0.0019820219892095732,0.0007850101728617031
