feature,scores,ci
AreaShape_Area & Intensity_IntegratedIntensity_DNA,-0.0162957197133242,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_CDK2,-0.0006818720275553314,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_CDK4,0.0003438627005189332,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_CDK6,0.00036767463463044836,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_Cdh1,0.0008208287058556726,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_Cdt1,-0.00031148713352922847,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_E2F1,-0.0012445713337813668,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_ER,0.00012103171029876013,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_Ki67,0.00026276162630938714,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_PR,0.0010609130222495743,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_RB,-2.376114526327577e-05,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_Skp2,0.0006704662275036935,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_cycA,0.0012694799588878905,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_cycB1,-0.00018943544848356363,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_cycD1,-0.00025647296477295477,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_cycE,0.000703216122000807,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_p21,0.0018818772768845408,0.00041633533810212105
AreaShape_Area & Intensity_MedianIntensity_pRB,0.0001321734991789056,0.00041633533810212105
AreaShape_Area & pRB_over_RB,0.0009896336278886705,0.00041633533810212105
AreaShape_Area & Metadata_well,-0.0008038559540850278,0.00041633533810212105
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK2,-0.0005878009049115065,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK4,-0.0010456329951471389,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK6,-0.0007246404570308189,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdh1,-0.0016032619394389185,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdt1,-0.0006928094833148844,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_E2F1,-0.0003786463454251326,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_ER,-0.002035795808812127,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Ki67,-0.003158254537683349,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_PR,-0.0010627386740964184,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_RB,-0.000356249298356128,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Skp2,0.0012310990314479183,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycA,-0.0007908123224020039,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycB1,-0.000684727142785326,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycD1,-0.0019293520856696986,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycE,-0.00040254080268174475,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_p21,-0.0007507689649477459,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_pRB,-7.592635068993418e-05,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & pRB_over_RB,-0.0022340654615949844,0.0023640711644866883
Intensity_IntegratedIntensity_DNA & Metadata_well,0.026614251257587835,0.0023640711644866883
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_CDK4,0.0001040707607779354,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_CDK6,0.0003555376441606677,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Cdh1,0.0007569940999511489,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Cdt1,-0.0002086699285405122,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_E2F1,0.0014213146379823654,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_ER,-0.00027884497754604524,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Ki67,0.0010153470596629673,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_PR,0.0005024609396850463,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_RB,0.00028974437368867943,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Skp2,0.0002681178434319047,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycA,0.0012047516016117214,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycB1,-0.0007675231443018097,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycD1,0.0005587775381071485,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycE,0.0005537097735553387,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_p21,-0.000558871589065125,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_pRB,0.0006582188229225023,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & pRB_over_RB,0.0010034625424767236,0.00021715823883537933
Intensity_MedianIntensity_CDK2 & Metadata_well,-0.006471121676370654,0.00021715823883537933
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_CDK6,0.0017981129551396591,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Cdh1,0.0010512970697874062,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Cdt1,0.0009745290228978772,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_E2F1,0.0014225785407205773,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_ER,-0.0005488001794347081,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Ki67,-0.0005138024273111587,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_PR,-0.0008507884128398491,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_RB,-0.0009847363490599356,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Skp2,4.7760127260477625e-05,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycA,-0.0006174506749131288,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycB1,0.0009323662197379812,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycD1,0.0017058721370051364,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycE,-0.0002411973981312387,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_p21,0.0004945063311039256,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_pRB,0.0004908468958581851,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & pRB_over_RB,0.0012256220240517233,0.0002504806130716703
Intensity_MedianIntensity_CDK4 & Metadata_well,-0.007639702221756752,0.0002504806130716703
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Cdh1,-0.0004784997907704447,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Cdt1,0.0005917626395334172,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_E2F1,-0.00020699046571739227,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_ER,0.0012756537958701604,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Ki67,0.0001199460270730219,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_PR,0.00013037943811569148,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_RB,-0.0004852814788014844,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Skp2,-9.912317294989999e-05,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycA,-1.4408118820357064e-05,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycB1,-0.0006992908992770787,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycD1,-0.00025678604338733507,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycE,0.0010831474610966303,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_p21,0.0009689603996641215,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_pRB,-1.7855922422317942e-05,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & pRB_over_RB,0.0010165391808759925,0.00018295542300060367
Intensity_MedianIntensity_CDK6 & Metadata_well,-0.005654757534859063,0.00018295542300060367
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_Cdt1,0.0015609285830301945,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_E2F1,0.00016620721902038598,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_ER,0.0006156182088203519,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_Ki67,2.116723794087593e-05,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_PR,-0.0009097714339009512,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_RB,-0.0010112591928698102,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_Skp2,0.0005048148176404915,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_cycA,0.0015018293450036653,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_cycB1,0.0008510338117062918,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_cycD1,0.0003853993661648543,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_cycE,-0.0005209670319789243,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_p21,-0.0009042683715796256,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_pRB,-0.0002629359525400064,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & pRB_over_RB,0.001954552590333393,0.00038481425577511157
Intensity_MedianIntensity_Cdh1 & Metadata_well,-0.005034245574835916,0.00038481425577511157
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_E2F1,-0.0012938313273281265,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_ER,0.0002462920263720502,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_Ki67,0.0021429780994399483,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_PR,0.00025981421020984473,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_RB,0.0012021895311606348,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_Skp2,0.00016827048666591876,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_cycA,0.00016273114495150273,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_cycB1,0.0015995779732337913,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_cycD1,-0.0008265770443675903,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_cycE,0.0007644267520336002,0.00036477246805394925
Intensity_MedianIntensity_Cdt1 & Intensity_MedianIntensity_p21,-0.00033416564125496155,0.00036477246805394925
