feature,scores,ci
AreaShape_Area & Intensity_IntegratedIntensity_DNA,-0.012131069178145597,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_CDK2,0.0007499972578651063,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_CDK4,0.0001444585647379597,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_CDK6,0.0005220808924357889,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_Cdh1,-0.00023988737462847504,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_Cdt1,0.0015545295297198962,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_E2F1,0.00033945664089307946,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_ER,-0.001119082992536605,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_Ki67,0.0006593836724428776,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_PR,0.0008161658822111825,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_RB,0.0004170191775553557,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_Skp2,-0.00045774151343002084,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_cycA,0.0024564769545391035,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_cycB1,7.352446738504497e-05,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_cycD1,-0.0006078016471233323,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_cycE,0.00013754470901473914,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_p21,0.0015358694629793532,0.0003601788913863208
AreaShape_Area & Intensity_MedianIntensity_pRB,-7.409226471529705e-05,0.0003601788913863208
AreaShape_Area & pRB_over_RB,0.0009135049861601623,0.0003601788913863208
AreaShape_Area & Metadata_well,-0.004793314752542097,0.0003601788913863208
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK2,-0.00089341798045891,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK4,-0.0018593526772653286,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK6,-0.00043325411005702035,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdh1,-0.0006626200952828097,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdt1,-0.0007497723737863046,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_E2F1,-0.002198391887194124,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_ER,0.00040415113543653227,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Ki67,-0.0033510158423699465,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_PR,-0.0023771970956205503,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_RB,0.00046747697212247804,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Skp2,-0.00033021271620481727,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycA,-0.0017042300169287288,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycB1,-0.00020462533735704128,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycD1,-0.0018360985036788091,0.0019441317318316925
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycE,-0.0009175381270819033,0.0019441317318316925
