feature,scores,ci
AreaShape_Area & Intensity_IntegratedIntensity_DNA,-0.007272073183592105,0.0
AreaShape_Area & Intensity_MedianIntensity_CDK2,0.00037102583560419476,0.0
AreaShape_Area & Intensity_MedianIntensity_CDK4,-0.0001396722855350136,0.0
AreaShape_Area & Intensity_MedianIntensity_CDK6,-0.000250507051480394,0.0
AreaShape_Area & Intensity_MedianIntensity_Cdh1,0.0005168462441373704,0.0
AreaShape_Area & Intensity_MedianIntensity_Cdt1,0.00039874867466165693,0.0
AreaShape_Area & Intensity_MedianIntensity_E2F1,0.0004851313284838045,0.0
AreaShape_Area & Intensity_MedianIntensity_ER,-7.20474468746626e-05,0.0
AreaShape_Area & Intensity_MedianIntensity_Ki67,8.144443058969664e-05,0.0
AreaShape_Area & Intensity_MedianIntensity_PR,-0.00023030718671891484,0.0
AreaShape_Area & Intensity_MedianIntensity_RB,0.0004968294041369509,0.0
AreaShape_Area & Intensity_MedianIntensity_Skp2,-0.0002458353858483629,0.0
AreaShape_Area & Intensity_MedianIntensity_cycA,-0.0005237007973862848,0.0
AreaShape_Area & Intensity_MedianIntensity_cycB1,0.00015137059022793327,0.0
AreaShape_Area & Intensity_MedianIntensity_cycD1,-0.00012585484552046972,0.0
AreaShape_Area & Intensity_MedianIntensity_cycE,0.0007595813605237123,0.0
AreaShape_Area & Intensity_MedianIntensity_p21,0.00013744199754411974,0.0
AreaShape_Area & Intensity_MedianIntensity_pRB,0.0009495003306728594,0.0
AreaShape_Area & pRB_over_RB,0.0011653037040502828,0.0
AreaShape_Area & Metadata_well,8.920090300061582e-05,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK2,-0.0012672373839409297,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK4,-0.001114892027568978,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK6,-0.00019884688370438107,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdh1,-0.001495820996449277,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdt1,0.0003889993863940013,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_E2F1,-0.001121076803705357,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_ER,-0.0008134901900668775,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Ki67,-0.004199523821130986,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_PR,-0.0005857510421915541,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_RB,-0.0010642758771763202,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Skp2,-0.0005981116257555014,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycA,-0.0004908855783170806,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycB1,5.0129418973772296e-05,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycD1,-0.001771745520038684,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycE,-0.0002530922336039145,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_p21,-0.0008843026543793527,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_pRB,-0.0016191357823094343,0.0
Intensity_IntegratedIntensity_DNA & pRB_over_RB,0.002944711096677754,0.0
Intensity_IntegratedIntensity_DNA & Metadata_well,-0.0003960556545193187,0.0
