feature,scores,ci
AreaShape_Area & Intensity_IntegratedIntensity_DNA,-0.01370877635140353,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_CDK2,0.0013500657475122623,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_CDK4,0.00029316658437354465,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_CDK6,-0.0008993395904575753,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_Cdh1,0.00022485823049244434,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_Cdt1,0.0003753409509366943,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_E2F1,-0.0011329140073273293,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_ER,-0.00027285419526946846,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_Ki67,0.00030168972594931027,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_PR,0.00010801432180912293,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_RB,-0.00025842303402442697,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_Skp2,0.0001912290150464542,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_cycA,0.0020687289157498,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_cycB1,-0.00020350906500821929,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_cycD1,0.001428763294112979,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_cycE,0.0014469698518913658,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_p21,0.0019707142896092525,0.00033737666346296026
AreaShape_Area & Intensity_MedianIntensity_pRB,0.0008135196257150353,0.00033737666346296026
AreaShape_Area & pRB_over_RB,0.0010096574552211773,0.00033737666346296026
AreaShape_Area & Metadata_well,0.00014803812371895006,0.00033737666346296026
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK2,7.768696724262497e-05,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK4,-1.0918836386661838e-05,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK6,-0.0007796431697065795,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdh1,-0.0009275798582988708,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdt1,-0.0017214095435460512,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_E2F1,-0.00047215956681990594,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_ER,-0.00201460022879976,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Ki67,-0.0038090049305858223,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_PR,-0.0018606583481014431,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_RB,-0.0002232808108822054,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Skp2,0.0020666666638642097,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycA,-0.0008197361723195101,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycB1,-0.002257293577232109,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycD1,-0.001211233101353081,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycE,-0.0010449039684513825,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_p21,-0.0009564817963851096,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_pRB,0.0012124848610223042,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & pRB_over_RB,-0.001591350930637749,0.0020647705700746312
Intensity_IntegratedIntensity_DNA & Metadata_well,-0.0010565876585594042,0.0020647705700746312
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_CDK4,-0.0007671283060746696,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_CDK6,0.0011556370125028219,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Cdh1,-0.0016332672144711339,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Cdt1,0.00017660932505964054,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_E2F1,-0.0005404577814489507,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_ER,-0.0005108025820059107,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Ki67,0.00046825292298796677,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_PR,-0.000984495386636903,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_RB,0.00019469572212539157,0.00019174643589278377
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Skp2,0.0008563837487286691,0.00019174643589278377
