feature,scores,ci
AreaShape_Area & Intensity_IntegratedIntensity_DNA,-0.006299061790333417,0.0
AreaShape_Area & Intensity_MedianIntensity_CDK2,0.0003381061776796496,0.0
AreaShape_Area & Intensity_MedianIntensity_CDK4,0.00032797883152324114,0.0
AreaShape_Area & Intensity_MedianIntensity_CDK6,-7.561893948915258e-05,0.0
AreaShape_Area & Intensity_MedianIntensity_Cdh1,0.0011223308723637992,0.0
AreaShape_Area & Intensity_MedianIntensity_Cdt1,0.0007839892616858104,0.0
AreaShape_Area & Intensity_MedianIntensity_E2F1,0.0006930583310272672,0.0
AreaShape_Area & Intensity_MedianIntensity_ER,0.0003551038881756008,0.0
AreaShape_Area & Intensity_MedianIntensity_Ki67,0.00011614319658968664,0.0
AreaShape_Area & Intensity_MedianIntensity_PR,-0.0015094701930932618,0.0
AreaShape_Area & Intensity_MedianIntensity_RB,-0.0005217205388884068,0.0
AreaShape_Area & Intensity_MedianIntensity_Skp2,-0.0001673189665637371,0.0
AreaShape_Area & Intensity_MedianIntensity_cycA,0.00021363071328896706,0.0
AreaShape_Area & Intensity_MedianIntensity_cycB1,0.000398388773119206,0.0
AreaShape_Area & Intensity_MedianIntensity_cycD1,0.00012319924909834855,0.0
AreaShape_Area & Intensity_MedianIntensity_cycE,-0.00011921223732367851,0.0
AreaShape_Area & Intensity_MedianIntensity_p21,0.00016105648658578704,0.0
AreaShape_Area & Intensity_MedianIntensity_pRB,0.0006536491228618294,0.0
AreaShape_Area & pRB_over_RB,0.0011539479968126997,0.0
AreaShape_Area & Metadata_well,,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK2,-0.0017296479168501867,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK4,-0.0012176969541566748,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK6,-0.0006914680085652282,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdh1,-0.0005901535511294207,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdt1,-0.0004676590785983302,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_E2F1,-0.0012438088246392864,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_ER,-0.0006134355351270026,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Ki67,-0.0036751147589209453,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_PR,-0.0009367745215295832,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_RB,0.0005359611580749259,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Skp2,0.0002438232792104163,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycA,-0.0008726083535010859,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycB1,-0.0012474165523256142,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycD1,-0.0012913017434244927,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycE,-0.001148899708960641,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_p21,-0.0002784087723847382,0.0
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_pRB,-0.0003892764215076085,0.0
Intensity_IntegratedIntensity_DNA & pRB_over_RB,0.00041157892408357985,0.0
Intensity_IntegratedIntensity_DNA & Metadata_well,,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_CDK4,0.00045502049365997725,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_CDK6,-0.0002628088958524979,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Cdh1,-0.00017439379825146502,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Cdt1,0.0006563080561879375,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_E2F1,0.0007779863424371436,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_ER,0.00015070523509518703,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Ki67,0.0005841204871842562,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_PR,0.0005596679251000099,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_RB,6.014431824364749e-05,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_Skp2,0.0004968050368085842,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycA,0.0001797751565632169,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycB1,-0.0001454636248016876,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycD1,-6.537647802207488e-05,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_cycE,-7.379711688341038e-05,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_p21,-0.00017429739792521864,0.0
Intensity_MedianIntensity_CDK2 & Intensity_MedianIntensity_pRB,-9.697077321567718e-05,0.0
Intensity_MedianIntensity_CDK2 & pRB_over_RB,-4.341696901994315e-05,0.0
Intensity_MedianIntensity_CDK2 & Metadata_well,,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_CDK6,3.4190244166081616e-05,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Cdh1,-2.4877018869343875e-05,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Cdt1,-9.536418102863947e-05,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_E2F1,0.00014320051143151545,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_ER,9.292063292465593e-05,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Ki67,-0.00018231401025574215,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_PR,6.244308821675105e-05,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_RB,0.0002865409684789941,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_Skp2,-0.001036060853820375,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycA,4.873670722331313e-05,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycB1,0.000583319354383804,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycD1,5.251628619445271e-06,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_cycE,0.0003979117524828306,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_p21,0.00033566250342986076,0.0
Intensity_MedianIntensity_CDK4 & Intensity_MedianIntensity_pRB,0.0007324275189970633,0.0
Intensity_MedianIntensity_CDK4 & pRB_over_RB,0.000376800523755413,0.0
Intensity_MedianIntensity_CDK4 & Metadata_well,,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Cdh1,0.0002479901573647099,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Cdt1,-0.00041663985557918276,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_E2F1,0.0004332275773565707,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_ER,0.0005452530017955681,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Ki67,0.00044224934947613697,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_PR,0.0003145673374371828,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_RB,-0.0007573390322097792,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_Skp2,0.0003206786516601413,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycA,5.9450941679153595e-06,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycB1,-0.0001557651681638103,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycD1,-0.0002273538390127723,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_cycE,-0.0002507234161604785,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_p21,-6.034242948401768e-05,0.0
Intensity_MedianIntensity_CDK6 & Intensity_MedianIntensity_pRB,0.0008040212343401247,0.0
Intensity_MedianIntensity_CDK6 & pRB_over_RB,0.0015009323670180507,0.0
Intensity_MedianIntensity_CDK6 & Metadata_well,,0.0
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_Cdt1,-0.0001140103685197993,0.0
Intensity_MedianIntensity_Cdh1 & Intensity_MedianIntensity_E2F1,-0.00023118700797871336,0.0
