feature,scores,ci
AreaShape_Area & Intensity_IntegratedIntensity_DNA,-0.011531022945701602,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_CDK2,0.00038261724848095307,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_CDK4,0.00028006194578716583,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_CDK6,-5.687342957711589e-05,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_Cdh1,0.00024990021902148167,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_Cdt1,0.0021629410483427736,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_E2F1,1.8380832536946938e-05,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_ER,0.0011042752285628172,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_Ki67,-2.8252337518406344e-05,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_PR,0.0001025319069973051,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_RB,-0.0008067811715599961,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_Skp2,0.00018680139289483215,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_cycA,0.002245261517604521,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_cycB1,0.0012726378592746123,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_cycD1,-0.0004923444654132342,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_cycE,0.00045754540671862076,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_p21,4.1964510242471796e-05,0.00036760092628250257
AreaShape_Area & Intensity_MedianIntensity_pRB,5.1562608154775086e-05,0.00036760092628250257
AreaShape_Area & pRB_over_RB,0.00015893631901015167,0.00036760092628250257
AreaShape_Area & Metadata_well,-0.0018557304814978172,0.00036760092628250257
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK2,-0.000246542627885006,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK4,-0.0013353196545949017,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK6,-0.000862036300769572,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdh1,-0.0005489276897250389,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdt1,-0.0021371403914986925,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_E2F1,-0.0009617368648773122,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_ER,-4.354337108001551e-05,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Ki67,-0.0032558992523895646,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_PR,-0.0003317656241652002,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_RB,0.0008781172743812057,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Skp2,-0.0007928984740335201,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycA,-0.0027199311383348935,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycB1,-0.00233924119322039,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycD1,-0.0008721424918531354,0.0019534225678925045
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_cycE,-0.0015460643439758426,0.0019534225678925045
