feature,scores,ci
E2F1..nuc.median. & cycA..nuc.median.,-0.0019091728789418613,0.01912242296758353
E2F1..nuc.median. & cycD1..nuc.median.,-0.0007336360606572523,0.01912242296758353
E2F1..nuc.median. & p21..nuc.median.,0.008323211476459385,0.01912242296758353
E2F1..nuc.median. & Int_Intg_DNA_nuc,0.005378472870732001,0.01912242296758353
E2F1..nuc.median. & Skp2..nuc.median.,-0.004406134476297429,0.01912242296758353
E2F1..nuc.median. & Cdt1..nuc.median.,-0.0011457817666553933,0.01912242296758353
E2F1..nuc.median. & Nuc.area,0.003435261752121041,0.01912242296758353
E2F1..nuc.median. & Cdh1..nuc.median.,-0.010601775227969476,0.01912242296758353
E2F1..nuc.median. & cycE..nuc.median.,-0.013564803007873627,0.01912242296758353
E2F1..nuc.median. & PCNA..nuc.median.,-0.004367983894257273,0.01912242296758353
E2F1..nuc.median. & pH2AX..nuc.median.,0.008271089062873044,0.01912242296758353
E2F1..nuc.median. & cMyc..nuc.median.,0.0009665862821189052,0.01912242296758353
E2F1..nuc.median. & RB..nuc.median.,0.00779692039833573,0.01912242296758353
E2F1..nuc.median. & cycB1..cell.median.,-0.004565683415254348,0.01912242296758353
E2F1..nuc.median. & cycB1..cyto.median.,0.001265706185931387,0.01912242296758353
E2F1..nuc.median. & cycB1..PN.median.,2.7357884597500996e-05,0.01912242296758353
E2F1..nuc.median. & pRB..nuc.median.,-0.0097243790447889,0.01912242296758353
E2F1..nuc.median. & cycB1..nuc.median.,-0.0028102767407627628,0.01912242296758353
E2F1..nuc.median. & p27..nuc.median.,-0.007865492948342422,0.01912242296758353
E2F1..nuc.median. & ERK..nuc.median.,-0.005716719186945542,0.01912242296758353
E2F1..nuc.median. & pp53..nuc.median.,-0.007040728695862281,0.01912242296758353
E2F1..nuc.median. & S6..nuc.median.,0.0008958540381297406,0.01912242296758353
E2F1..nuc.median. & cycB1..PM.median.,0.007107568896701843,0.01912242296758353
E2F1..nuc.median. & pp21..nuc.median.,-0.003993347162036496,0.01912242296758353
E2F1..nuc.median. & CDK2..nuc.median.,-0.0021355152729413103,0.01912242296758353
E2F1..nuc.median. & CDK4..nuc.median.,-0.00737177944695019,0.01912242296758353
E2F1..nuc.median. & DNA..nuc.median.,-0.0011095743109546556,0.01912242296758353
E2F1..nuc.median. & cFos..nuc.median.,-0.00156777618140425,0.01912242296758353
E2F1..nuc.median. & Cell.area,0.00016280722128108032,0.01912242296758353
E2F1..nuc.median. & Fra1..PM.median.,-0.002631962361458514,0.01912242296758353
E2F1..nuc.median. & CDK6..nuc.median.,-0.0025588690252748678,0.01912242296758353
E2F1..nuc.median. & p16..nuc.median.,-0.0030310702780137373,0.01912242296758353
E2F1..nuc.median. & cycD1..cyto.median.,0.0017321764679458344,0.01912242296758353
E2F1..nuc.median. & GSK3b..nuc.median.,0.0014737586270355879,0.01912242296758353
E2F1..nuc.median. & p38..nuc.median.,-0.006799058392184436,0.01912242296758353
E2F1..nuc.median. & CDK2..cyto.median.,-0.00105045410688498,0.01912242296758353
E2F1..nuc.median. & Skp2..PM.median.,-0.0031173748219585963,0.01912242296758353
E2F1..nuc.median. & cycA..cell.median.,0.004348051375839216,0.01912242296758353
E2F1..nuc.median. & Skp2..cell.median.,-0.0022578906559599997,0.01912242296758353
E2F1..nuc.median. & cycA..PN.median.,0.0017058669913757366,0.01912242296758353
E2F1..nuc.median. & cycD1..cell.median.,0.0036281237585149293,0.01912242296758353
E2F1..nuc.median. & pp65..nuc.median.,-0.00025040495186675883,0.01912242296758353
E2F1..nuc.median. & YAP..nuc.median.,0.0008785027479317948,0.01912242296758353
E2F1..nuc.median. & pSTAT3..nuc.median.,0.004547502339142405,0.01912242296758353
E2F1..nuc.median. & CDK2..cell.median.,0.0032193159436369424,0.01912242296758353
E2F1..nuc.median. & E2F1..cell.median.,0.0034250666184693673,0.01912242296758353
E2F1..nuc.median. & Cyto.area,0.0049307944003248805,0.01912242296758353
E2F1..nuc.median. & Nuc.shape,0.0018935261614336134,0.01912242296758353
E2F1..nuc.median. & DNA..PM.median.,-0.013132686565273282,0.01912242296758353
E2F1..nuc.median. & p53..nuc.median.,-0.008817346165256822,0.01912242296758353
E2F1..nuc.median. & pCHK1..nuc.median.,-0.0032373050360212084,0.01912242296758353
E2F1..nuc.median. & cycE..PM.median.,-0.008728978145373647,0.01912242296758353
E2F1..nuc.median. & CDK2..PM.median.,0.0012945681947678618,0.01912242296758353
E2F1..nuc.median. & cMyc..PM.median.,-0.005058587644121542,0.01912242296758353
E2F1..nuc.median. & pAKT..cell.median.,0.005542387286475584,0.01912242296758353
E2F1..nuc.median. & Cdt1..PN.median.,-0.0018037311579099894,0.01912242296758353
E2F1..nuc.median. & Cdh1..PN.median.,0.0074452791064729676,0.01912242296758353
E2F1..nuc.median. & pERK..cell.median.,-0.005953840624880013,0.01912242296758353
E2F1..nuc.median. & cycA..cyto.median.,-0.010493536576132454,0.01912242296758353
