feature,scores,ci
E2F1..nuc.median. & cycA..nuc.median.,-0.006261844425972435,0.02478188988722335
E2F1..nuc.median. & cycD1..nuc.median.,0.00298926772469262,0.02478188988722335
E2F1..nuc.median. & p21..nuc.median.,0.008364034060950022,0.02478188988722335
E2F1..nuc.median. & Int_Intg_DNA_nuc,0.014849721428830226,0.02478188988722335
E2F1..nuc.median. & Skp2..nuc.median.,-0.0028669302564275196,0.02478188988722335
E2F1..nuc.median. & Cdt1..nuc.median.,0.0021050986752491397,0.02478188988722335
E2F1..nuc.median. & Nuc.area,-0.00906741854559915,0.02478188988722335
E2F1..nuc.median. & Cdh1..nuc.median.,-0.02218004439528979,0.02478188988722335
E2F1..nuc.median. & cycE..nuc.median.,-0.018425185669760178,0.02478188988722335
E2F1..nuc.median. & PCNA..nuc.median.,-0.00812316734760055,0.02478188988722335
E2F1..nuc.median. & pH2AX..nuc.median.,-0.0008571708319243739,0.02478188988722335
E2F1..nuc.median. & cMyc..nuc.median.,-0.0054120727024140405,0.02478188988722335
E2F1..nuc.median. & RB..nuc.median.,0.00011297096489882626,0.02478188988722335
E2F1..nuc.median. & cycB1..cell.median.,-0.004347749743630947,0.02478188988722335
E2F1..nuc.median. & cycB1..cyto.median.,0.004546032637413108,0.02478188988722335
E2F1..nuc.median. & cycB1..PN.median.,0.0009597956430771938,0.02478188988722335
E2F1..nuc.median. & pRB..nuc.median.,0.002524247354929363,0.02478188988722335
E2F1..nuc.median. & cycB1..nuc.median.,-0.01187134437313302,0.02478188988722335
E2F1..nuc.median. & p27..nuc.median.,-0.006654582769315759,0.02478188988722335
E2F1..nuc.median. & ERK..nuc.median.,-0.023091747168516637,0.02478188988722335
E2F1..nuc.median. & pp53..nuc.median.,-0.002911186102652946,0.02478188988722335
E2F1..nuc.median. & S6..nuc.median.,0.0076774982391508255,0.02478188988722335
E2F1..nuc.median. & cycB1..PM.median.,-0.003714281787267488,0.02478188988722335
E2F1..nuc.median. & pp21..nuc.median.,-0.0013864572645264281,0.02478188988722335
E2F1..nuc.median. & CDK2..nuc.median.,-0.012211413531634057,0.02478188988722335
E2F1..nuc.median. & CDK4..nuc.median.,0.0048016470936216625,0.02478188988722335
E2F1..nuc.median. & DNA..nuc.median.,-0.0047346876493095,0.02478188988722335
E2F1..nuc.median. & cFos..nuc.median.,-0.004256931276593326,0.02478188988722335
E2F1..nuc.median. & Cell.area,-0.009461337550922598,0.02478188988722335
E2F1..nuc.median. & Fra1..PM.median.,-0.00265202913398406,0.02478188988722335
E2F1..nuc.median. & CDK6..nuc.median.,-0.013111756691594497,0.02478188988722335
E2F1..nuc.median. & p16..nuc.median.,0.005310080512447949,0.02478188988722335
E2F1..nuc.median. & cycD1..cyto.median.,-0.00829795435106081,0.02478188988722335
E2F1..nuc.median. & GSK3b..nuc.median.,-0.0037749829596874307,0.02478188988722335
E2F1..nuc.median. & p38..nuc.median.,-0.0018404629263781083,0.02478188988722335
E2F1..nuc.median. & CDK2..cyto.median.,-0.02498484223199204,0.02478188988722335
E2F1..nuc.median. & Skp2..PM.median.,-0.00801083816555539,0.02478188988722335
E2F1..nuc.median. & cycA..cell.median.,-0.009431405484681245,0.02478188988722335
E2F1..nuc.median. & Skp2..cell.median.,0.001289151410026331,0.02478188988722335
E2F1..nuc.median. & cycA..PN.median.,0.0029172780173989093,0.02478188988722335
E2F1..nuc.median. & cycD1..cell.median.,-0.005149085533601108,0.02478188988722335
E2F1..nuc.median. & pp65..nuc.median.,-0.0030481480320959653,0.02478188988722335
E2F1..nuc.median. & YAP..nuc.median.,-0.0003176437586298865,0.02478188988722335
E2F1..nuc.median. & pSTAT3..nuc.median.,-0.0036641525163905145,0.02478188988722335
E2F1..nuc.median. & CDK2..cell.median.,-0.006886793789188703,0.02478188988722335
E2F1..nuc.median. & E2F1..cell.median.,-0.0011233118759846775,0.02478188988722335
E2F1..nuc.median. & Cyto.area,-0.001237721997554067,0.02478188988722335
E2F1..nuc.median. & Nuc.shape,0.002219060638105464,0.02478188988722335
E2F1..nuc.median. & DNA..PM.median.,-0.008344214050335752,0.02478188988722335
E2F1..nuc.median. & p53..nuc.median.,-0.018581310582980376,0.02478188988722335
