feature,scores,ci
E2F1..nuc.median. & cycA..nuc.median.,0.0009135072331194253,0.02269463120395883
E2F1..nuc.median. & cycD1..nuc.median.,-0.005783223240335542,0.02269463120395883
E2F1..nuc.median. & p21..nuc.median.,-0.008101965624866913,0.02269463120395883
E2F1..nuc.median. & Int_Intg_DNA_nuc,0.0025965428657911973,0.02269463120395883
E2F1..nuc.median. & Skp2..nuc.median.,-0.004609081652785175,0.02269463120395883
E2F1..nuc.median. & Cdt1..nuc.median.,-0.005997259591518996,0.02269463120395883
E2F1..nuc.median. & Nuc.area,-0.007980925879377768,0.02269463120395883
E2F1..nuc.median. & Cdh1..nuc.median.,-0.008076260073970876,0.02269463120395883
E2F1..nuc.median. & cycE..nuc.median.,-0.01156490770828972,0.02269463120395883
E2F1..nuc.median. & PCNA..nuc.median.,-0.0019297536588386423,0.02269463120395883
E2F1..nuc.median. & pH2AX..nuc.median.,-0.0004042903240043115,0.02269463120395883
E2F1..nuc.median. & cMyc..nuc.median.,-0.0032586861845407297,0.02269463120395883
E2F1..nuc.median. & RB..nuc.median.,-0.0030097217902497735,0.02269463120395883
E2F1..nuc.median. & cycB1..cell.median.,-0.00473893507783482,0.02269463120395883
E2F1..nuc.median. & cycB1..cyto.median.,-0.0035302644319665016,0.02269463120395883
E2F1..nuc.median. & cycB1..PN.median.,-0.003318196175150408,0.02269463120395883
E2F1..nuc.median. & pRB..nuc.median.,-0.005741024548999756,0.02269463120395883
E2F1..nuc.median. & cycB1..nuc.median.,-0.00583352837785548,0.02269463120395883
E2F1..nuc.median. & p27..nuc.median.,7.429667220087513e-05,0.02269463120395883
E2F1..nuc.median. & ERK..nuc.median.,0.00025108708106359994,0.02269463120395883
E2F1..nuc.median. & pp53..nuc.median.,0.0016346944981590293,0.02269463120395883
E2F1..nuc.median. & S6..nuc.median.,0.0005906441561359815,0.02269463120395883
E2F1..nuc.median. & cycB1..PM.median.,-0.0006396892718176557,0.02269463120395883
E2F1..nuc.median. & pp21..nuc.median.,0.0024145682986698165,0.02269463120395883
E2F1..nuc.median. & CDK2..nuc.median.,-0.004378763860278011,0.02269463120395883
E2F1..nuc.median. & CDK4..nuc.median.,-0.002078463296200439,0.02269463120395883
E2F1..nuc.median. & DNA..nuc.median.,-0.005151922141599768,0.02269463120395883
E2F1..nuc.median. & cFos..nuc.median.,0.0025397639400087336,0.02269463120395883
E2F1..nuc.median. & Cell.area,0.0013529983299029847,0.02269463120395883
E2F1..nuc.median. & Fra1..PM.median.,0.0012794075242445974,0.02269463120395883
E2F1..nuc.median. & CDK6..nuc.median.,-0.0011589590381410888,0.02269463120395883
E2F1..nuc.median. & p16..nuc.median.,0.004463089937631385,0.02269463120395883
E2F1..nuc.median. & cycD1..cyto.median.,0.0006804525625271506,0.02269463120395883
E2F1..nuc.median. & GSK3b..nuc.median.,0.00448601172908891,0.02269463120395883
E2F1..nuc.median. & p38..nuc.median.,-0.006242650678806239,0.02269463120395883
E2F1..nuc.median. & CDK2..cyto.median.,-0.004885682825915033,0.02269463120395883
E2F1..nuc.median. & Skp2..PM.median.,0.0004092577771273752,0.02269463120395883
E2F1..nuc.median. & cycA..cell.median.,-0.0029558599307205526,0.02269463120395883
E2F1..nuc.median. & Skp2..cell.median.,-0.0010870541808681972,0.02269463120395883
E2F1..nuc.median. & cycA..PN.median.,-0.0037069803659076184,0.02269463120395883
E2F1..nuc.median. & cycD1..cell.median.,-0.001717772246683716,0.02269463120395883
E2F1..nuc.median. & pp65..nuc.median.,-0.005526815993886714,0.02269463120395883
E2F1..nuc.median. & YAP..nuc.median.,0.0031776428127986266,0.02269463120395883
E2F1..nuc.median. & pSTAT3..nuc.median.,-0.0030259329382865655,0.02269463120395883
E2F1..nuc.median. & CDK2..cell.median.,-0.0053603389923335375,0.02269463120395883
E2F1..nuc.median. & E2F1..cell.median.,-0.0061123439171142085,0.02269463120395883
E2F1..nuc.median. & Cyto.area,0.0028159253471291322,0.02269463120395883
E2F1..nuc.median. & Nuc.shape,-0.012116179768300902,0.02269463120395883
E2F1..nuc.median. & DNA..PM.median.,-0.0012529100724205067,0.02269463120395883
E2F1..nuc.median. & p53..nuc.median.,-0.0028220592843956082,0.02269463120395883
E2F1..nuc.median. & pCHK1..nuc.median.,0.0020964369173680883,0.02269463120395883
E2F1..nuc.median. & cycE..PM.median.,-0.005835269431460707,0.02269463120395883
