feature,scores,ci
E2F1..nuc.median. & cycA..nuc.median.,-0.002045422077985147,0.022688982896193803
E2F1..nuc.median. & cycD1..nuc.median.,-0.019085704964593886,0.022688982896193803
E2F1..nuc.median. & p21..nuc.median.,0.00849968223597726,0.022688982896193803
E2F1..nuc.median. & Int_Intg_DNA_nuc,0.015647528395398545,0.022688982896193803
E2F1..nuc.median. & Skp2..nuc.median.,-0.00794465966152028,0.022688982896193803
E2F1..nuc.median. & Cdt1..nuc.median.,-0.004085025404887176,0.022688982896193803
E2F1..nuc.median. & Nuc.area,-0.0029853966506427974,0.022688982896193803
E2F1..nuc.median. & Cdh1..nuc.median.,-0.013366424317607381,0.022688982896193803
E2F1..nuc.median. & cycE..nuc.median.,-0.015443628299898593,0.022688982896193803
E2F1..nuc.median. & PCNA..nuc.median.,0.006405181090813279,0.022688982896193803
E2F1..nuc.median. & pH2AX..nuc.median.,0.007206025581555324,0.022688982896193803
E2F1..nuc.median. & cMyc..nuc.median.,-0.002633085536707153,0.022688982896193803
E2F1..nuc.median. & RB..nuc.median.,-0.00486207697293687,0.022688982896193803
E2F1..nuc.median. & cycB1..cell.median.,0.008273648384694242,0.022688982896193803
E2F1..nuc.median. & cycB1..cyto.median.,-0.003737419232829089,0.022688982896193803
E2F1..nuc.median. & cycB1..PN.median.,-0.010743797207888763,0.022688982896193803
E2F1..nuc.median. & pRB..nuc.median.,-0.002973144850202178,0.022688982896193803
E2F1..nuc.median. & cycB1..nuc.median.,0.004783983924611729,0.022688982896193803
E2F1..nuc.median. & p27..nuc.median.,0.0015760709069417079,0.022688982896193803
E2F1..nuc.median. & ERK..nuc.median.,-0.0033162186166120935,0.022688982896193803
E2F1..nuc.median. & pp53..nuc.median.,0.005740458216553003,0.022688982896193803
E2F1..nuc.median. & S6..nuc.median.,0.00946199056394487,0.022688982896193803
E2F1..nuc.median. & cycB1..PM.median.,-0.0026977962340264173,0.022688982896193803
E2F1..nuc.median. & pp21..nuc.median.,0.0067910690026656215,0.022688982896193803
E2F1..nuc.median. & CDK2..nuc.median.,-0.006352393324779972,0.022688982896193803
E2F1..nuc.median. & CDK4..nuc.median.,7.413531407814135e-05,0.022688982896193803
E2F1..nuc.median. & DNA..nuc.median.,-0.013958254511821078,0.022688982896193803
E2F1..nuc.median. & cFos..nuc.median.,-0.009861368853173227,0.022688982896193803
E2F1..nuc.median. & Cell.area,0.0003025015752847036,0.022688982896193803
E2F1..nuc.median. & Fra1..PM.median.,-0.01095558716325923,0.022688982896193803
E2F1..nuc.median. & CDK6..nuc.median.,0.0035528965441993846,0.022688982896193803
E2F1..nuc.median. & p16..nuc.median.,-0.009360558812759058,0.022688982896193803
E2F1..nuc.median. & cycD1..cyto.median.,-0.004527265000878612,0.022688982896193803
E2F1..nuc.median. & GSK3b..nuc.median.,-0.000774419546685189,0.022688982896193803
E2F1..nuc.median. & p38..nuc.median.,-0.00473470211312582,0.022688982896193803
E2F1..nuc.median. & CDK2..cyto.median.,-0.004690426355836444,0.022688982896193803
E2F1..nuc.median. & Skp2..PM.median.,-0.006944126054312392,0.022688982896193803
E2F1..nuc.median. & cycA..cell.median.,-0.009995225114003225,0.022688982896193803
E2F1..nuc.median. & Skp2..cell.median.,-0.007130700149037505,0.022688982896193803
E2F1..nuc.median. & cycA..PN.median.,-0.0034464466873296907,0.022688982896193803
E2F1..nuc.median. & cycD1..cell.median.,-0.007944967400586282,0.022688982896193803
E2F1..nuc.median. & pp65..nuc.median.,-0.00025857631257591643,0.022688982896193803
E2F1..nuc.median. & YAP..nuc.median.,-0.006040805327246471,0.022688982896193803
E2F1..nuc.median. & pSTAT3..nuc.median.,-0.012503705572528449,0.022688982896193803
E2F1..nuc.median. & CDK2..cell.median.,0.006053449332978984,0.022688982896193803
E2F1..nuc.median. & E2F1..cell.median.,0.0008714666910070393,0.022688982896193803
E2F1..nuc.median. & Cyto.area,-0.0021777524923112055,0.022688982896193803
E2F1..nuc.median. & Nuc.shape,-0.0071616786977682645,0.022688982896193803
E2F1..nuc.median. & DNA..PM.median.,0.005493913528999718,0.022688982896193803
E2F1..nuc.median. & p53..nuc.median.,0.0016626608111422524,0.022688982896193803
E2F1..nuc.median. & pCHK1..nuc.median.,-0.004109326639911428,0.022688982896193803
E2F1..nuc.median. & cycE..PM.median.,-0.0032210843965245063,0.022688982896193803
E2F1..nuc.median. & CDK2..PM.median.,0.004018771096188128,0.022688982896193803
E2F1..nuc.median. & cMyc..PM.median.,0.009326709309145866,0.022688982896193803
E2F1..nuc.median. & pAKT..cell.median.,-0.0022973490456510604,0.022688982896193803
E2F1..nuc.median. & Cdt1..PN.median.,-0.0012007427136591046,0.022688982896193803
E2F1..nuc.median. & Cdh1..PN.median.,-0.0042030555465808524,0.022688982896193803
E2F1..nuc.median. & pERK..cell.median.,-0.004009350338170417,0.022688982896193803
E2F1..nuc.median. & cycA..cyto.median.,-0.005797428415398702,0.022688982896193803
E2F1..nuc.median. & cJun..PM.median.,0.004904099129502475,0.022688982896193803
E2F1..nuc.median. & pp38..PM.median.,-0.006482297852775672,0.022688982896193803
E2F1..nuc.median. & pp38..nuc.median.,-0.005722700249451223,0.022688982896193803
E2F1..nuc.median. & pERK..PM.median.,-0.0015425883982565162,0.022688982896193803
E2F1..nuc.median. & YAP..PM.median.,0.003053477587738539,0.022688982896193803
E2F1..nuc.median. & pS6..PM.median.,0.006249505495245277,0.022688982896193803
E2F1..nuc.median. & E2F1..cyto.median.,0.004001167875008017,0.022688982896193803
E2F1..nuc.median. & p53..PM.median.,-0.0025789068704607093,0.022688982896193803
E2F1..nuc.median. & p38..PM.median.,-0.006906167984738078,0.022688982896193803
E2F1..nuc.median. & cycD1..PN.median.,0.000585304048823419,0.022688982896193803
E2F1..nuc.median. & PCNA..cyto.median.,-0.005836998159526396,0.022688982896193803
E2F1..nuc.median. & p14ARF..cyto.median.,-0.006199623754564779,0.022688982896193803
E2F1..nuc.median. & E2F1..PN.median.,-0.008101754935098926,0.022688982896193803
E2F1..nuc.median. & pERK..nuc.median.,-0.00656663522089903,0.022688982896193803
E2F1..nuc.median. & cJun..cell.median.,-0.007702489563563863,0.022688982896193803
E2F1..nuc.median. & p16..PN.median.,0.005113533556778591,0.022688982896193803
E2F1..nuc.median. & Fra1..nuc.median.,0.005419666175858208,0.022688982896193803
E2F1..nuc.median. & Skp2..cyto.median.,-0.001595855738870002,0.022688982896193803
E2F1..nuc.median. & Cdh1..cyto.median.,-0.007332047557695516,0.022688982896193803
E2F1..nuc.median. & CDK2..PN.median.,-0.012378205961348884,0.022688982896193803
E2F1..nuc.median. & CDK6..cyto.median.,0.0015087991469971626,0.022688982896193803
E2F1..nuc.median. & bCat..nuc.median.,0.0005591615813154842,0.022688982896193803
E2F1..nuc.median. & bCat..PM.median.,-0.017217301114107766,0.022688982896193803
E2F1..nuc.median. & Cdt1..cyto.median.,-0.00024190782220460507,0.022688982896193803
E2F1..nuc.median. & cJun..nuc.median.,0.001916797176231744,0.022688982896193803
E2F1..nuc.median. & Cdh1..cell.median.,-0.0020307109446488585,0.022688982896193803
E2F1..nuc.median. & pAKT..nuc.median.,0.0007124376037385896,0.022688982896193803
E2F1..nuc.median. & PCNA..PN.median.,-0.013989140841137669,0.022688982896193803
E2F1..nuc.median. & E2F1..PM.median.,0.0025727943571852508,0.022688982896193803
E2F1..nuc.median. & pS6..cell.median.,-0.0016827507321937408,0.022688982896193803
E2F1..nuc.median. & cMyc..cell.median.,-0.012403424155371193,0.022688982896193803
E2F1..nuc.median. & cMyc..cyto.median.,0.014440210899662681,0.022688982896193803
E2F1..nuc.median. & p14ARF..cell.median.,-0.0019844061212467732,0.022688982896193803
E2F1..nuc.median. & pS6..cyto.median.,0.00014204462047092846,0.022688982896193803
E2F1..nuc.median. & ERK..cell.median.,-0.008312283147139034,0.022688982896193803
E2F1..nuc.median. & CDK4..PM.median.,0.009715165688446456,0.022688982896193803
E2F1..nuc.median. & Skp2..PN.median.,-0.002419275645775756,0.022688982896193803
E2F1..nuc.median. & p16..cell.median.,0.003653335964355375,0.022688982896193803
E2F1..nuc.median. & pp27..PM.median.,-0.0049473651236142365,0.022688982896193803
E2F1..nuc.median. & ERK..PM.median.,0.005604172754893415,0.022688982896193803
E2F1..nuc.median. & bCat..cell.median.,-0.00038414368479477203,0.022688982896193803
E2F1..nuc.median. & pERK..PN.median.,0.008416551824599768,0.022688982896193803
E2F1..nuc.median. & GSK3b..PM.median.,-0.003741990132758475,0.022688982896193803
E2F1..nuc.median. & GSK3b..PN.median.,-0.0005853039230185506,0.022688982896193803
