feature,scores,ci
AreaShape_Area & Intensity_IntegratedIntensity_DNA,0.0008836745199747802,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_CDK2,0.0005255439145017831,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_CDK4,0.0009944911432932637,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_CDK6,0.002007456426049699,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_Cdh1,-0.0017425048371074972,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_Cdt1,0.0007198716069376993,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_E2F1,0.00044720289839623827,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_ER,6.139526808062592e-06,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_Ki67,0.0017138876011555692,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_PR,2.177287181581599e-05,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_RB,0.00025649313837368507,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_Skp2,0.0003080749393256166,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_cycA,0.0011279182554226144,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_cycB1,0.0009226411571251311,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_cycD1,-0.0016646490537026173,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_cycE,0.0010974678038960443,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_p21,-0.0007772363358536902,0.00026010135531433253
AreaShape_Area & Intensity_MedianIntensity_pRB,0.000264191433571852,0.00026010135531433253
AreaShape_Area & pRB_over_RB,0.0006954425688525344,0.00026010135531433253
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK2,0.0014894621846640124,0.00021613540767257525
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK4,0.0010056612111603322,0.00021613540767257525
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_CDK6,0.0003940806531615657,0.00021613540767257525
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdh1,-0.002112962070664054,0.00021613540767257525
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Cdt1,0.0006056443320823873,0.00021613540767257525
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_E2F1,0.0008800819557569839,0.00021613540767257525
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_ER,-9.107832294342608e-05,0.00021613540767257525
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_Ki67,0.0005512011815785109,0.00021613540767257525
Intensity_IntegratedIntensity_DNA & Intensity_MedianIntensity_PR,0.0009733277883465332,0.00021613540767257525
