Table S2.  Variable importance for cell cycle phase and age determined by random forest modeling.,,,,,,,,
,,,,,,,,
,Phase predictions,,,,,Age predictions,,Combined rank
Feature,G1,G2,S,Avg. Accuracy,Rank (phase),Overall,Rank (age),
Int_Med_E2F1_nuc,20.84163449,43.50331527,80.76928696,48.37141224,3,87.55138478,2,2.5
Int_Med_cycA_nuc,46.37289744,61.24203727,39.88588675,49.16694049,2,66.51879458,5,3.5
Int_Med_cycD1_nuc,19.08682671,40.63739483,39.32977304,33.01799819,4,70.00992967,4,4
Int_Med_p21_nuc,49.87201667,24.68662316,100,58.18621328,1,52.0268976,8,4.5
Int_Intg_DNA_nuc,30.83552114,39.61428444,11.97409259,27.47463272,5,50.84670379,9,7
Int_Med_Skp2_nuc,19.81155626,19.84780708,25.3777981,21.67905382,7,53.39604036,7,7
Int_Med_Cdt1_nuc,23.9683558,11.11180815,40.91351148,25.33122514,6,42.57770693,12,9
AreaShape_Area_nuc,18.69789329,15.39380722,12.83393397,15.64187816,9,42.85258736,11,10
Int_Med_Cdh1_nuc,10.18030548,7.711686307,10.24772663,9.37990614,17,74.67593054,3,10
Int_Med_cycE_nuc,13.49547587,6.691582949,8.691986612,9.626348478,15,63.24818964,6,10.5
Int_Med_PCNA_nuc,24.50459036,1.646653209,24.68011024,16.9437846,8,42.12947229,13,10.5
Int_Med_pH2AX_nuc,14.29667464,4.558380205,13.56333506,10.80612997,13,28.39665882,16,14.5
Int_Med_cMyc_nuc,8.111010899,11.39421009,8.777871825,9.427697605,16,23.52188906,21,18.5
Int_Med_RB_nuc,8.670777005,9.668571236,5.605676779,7.981675007,27,49.5896932,10,18.5
Int_Med_cycB1_cell,9.398393767,17.14093519,6.450245453,10.9965248,12,20.45022552,26,19
Int_Med_cycB1_cyto,13.12188756,15.43050862,8.11029514,12.2208971,11,20.00135889,27,19
Int_Med_cycB1_ring,14.40054767,16.36057391,9.628823857,13.46331515,10,19.28170171,28,19
